[2024-10-19 19:33:08,714][training.py][line:148][INFO] Epoch:[77/200]	 Best Acc=93.939	Loss: 0.496, Acc@1: 89.773, Acc@5: 99.811, cs_loss: 0.000, lr: 0.067
[2024-10-19 19:34:04,065][training.py][line:148][INFO] Epoch:[78/200]	 Best Acc=93.939	Loss: 0.355, Acc@1: 93.845, Acc@5: 99.716, cs_loss: 0.000, lr: 0.066
[2024-10-19 19:34:59,330][training.py][line:148][INFO] Epoch:[79/200]	 Best Acc=93.939	Loss: 0.510, Acc@1: 90.720, Acc@5: 99.621, cs_loss: 0.000, lr: 0.065
[2024-10-19 19:35:54,657][training.py][line:148][INFO] Epoch:[80/200]	 Best Acc=93.939	Loss: 0.622, Acc@1: 87.973, Acc@5: 99.716, cs_loss: 0.000, lr: 0.065
[2024-10-19 19:36:50,253][training.py][line:148][INFO] Epoch:[81/200]	 Best Acc=93.939	Loss: 0.599, Acc@1: 88.636, Acc@5: 99.716, cs_loss: 0.000, lr: 0.064
[2024-10-19 19:37:45,529][training.py][line:148][INFO] Epoch:[82/200]	 Best Acc=93.939	Loss: 0.533, Acc@1: 90.436, Acc@5: 99.148, cs_loss: 0.000, lr: 0.063
[2024-10-19 19:38:40,768][training.py][line:148][INFO] Epoch:[83/200]	 Best Acc=93.939	Loss: 0.417, Acc@1: 92.992, Acc@5: 99.811, cs_loss: 0.000, lr: 0.062
[2024-10-19 19:39:35,760][training.py][line:148][INFO] Epoch:[84/200]	 Best Acc=93.939	Loss: 0.428, Acc@1: 92.519, Acc@5: 99.432, cs_loss: 0.000, lr: 0.062
[2024-10-19 19:40:30,440][training.py][line:148][INFO] Epoch:[85/200]	 Best Acc=93.939	Loss: 0.433, Acc@1: 91.761, Acc@5: 99.811, cs_loss: 0.000, lr: 0.061
[2024-10-19 19:41:25,721][training.py][line:148][INFO] Epoch:[86/200]	 Best Acc=93.939	Loss: 0.418, Acc@1: 92.898, Acc@5: 99.811, cs_loss: 0.000, lr: 0.060
[2024-10-19 19:42:21,513][training.py][line:148][INFO] Epoch:[87/200]	 Best Acc=93.939	Loss: 0.498, Acc@1: 91.098, Acc@5: 99.621, cs_loss: 0.000, lr: 0.059
[2024-10-19 19:43:17,129][training.py][line:148][INFO] Epoch:[88/200]	 Best Acc=93.939	Loss: 0.385, Acc@1: 93.371, Acc@5: 99.716, cs_loss: 0.000, lr: 0.059
[2024-10-19 19:44:12,413][training.py][line:148][INFO] Epoch:[89/200]	 Best Acc=93.939	Loss: 0.543, Acc@1: 90.057, Acc@5: 99.527, cs_loss: 0.000, lr: 0.058
[2024-10-19 19:45:07,428][training.py][line:148][INFO] Epoch:[90/200]	 Best Acc=93.939	Loss: 0.700, Acc@1: 87.500, Acc@5: 99.432, cs_loss: 0.000, lr: 0.057
[2024-10-19 19:46:02,662][training.py][line:148][INFO] Epoch:[91/200]	 Best Acc=93.939	Loss: 0.546, Acc@1: 90.246, Acc@5: 99.432, cs_loss: 0.000, lr: 0.056
[2024-10-19 19:46:59,008][training.py][line:148][INFO] Epoch:[92/200]	 Best Acc=93.939	Loss: 0.503, Acc@1: 91.572, Acc@5: 99.337, cs_loss: 0.000, lr: 0.055
[2024-10-19 19:47:54,565][training.py][line:148][INFO] Epoch:[93/200]	 Best Acc=93.939	Loss: 0.398, Acc@1: 93.371, Acc@5: 99.905, cs_loss: 0.000, lr: 0.055
[2024-10-19 19:48:50,165][training.py][line:148][INFO] Epoch:[94/200]	 Best Acc=93.939	Loss: 0.527, Acc@1: 90.246, Acc@5: 99.905, cs_loss: 0.000, lr: 0.054
